plant_id,plant_name,plant_type,regulatory_category,internal_regulatory_category,latitude,longitude,address,city,state,zip_code,capacity_mw,commissioning_date,operator,owner,interconnection_voltage_kv,balancing_authority,status,created_datetime,updated_datetime
PLT-0001,Houston Solar Plant 1,Solar,NERC,NEER,39.426507,-94.450365,266 Energy Drive,Houston,TX,51978,84.65,2019-08-07,Dominion Energy,Southern Company,138.00,CAISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0002,Cincinnati Battery Plant 2,Battery,FERC,NEER,26.064381,-114.230181,881 Energy Drive,Cincinnati,OH,50632,365.07,2019-12-28,Duke Energy,Southern Company,345.00,CAISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0003,Miami Wind Plant 3,Wind,NERC,FPL,36.160936,-108.731143,1614 Energy Drive,Miami,FL,60239,496.71,2023-03-24,Dominion Energy,Duke Energy,13.80,NYISO,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0004,San Francisco Solar Plant 4,Solar,NERC,NEER,42.642970,-71.596105,4954 Energy Drive,San Francisco,CA,84090,51.94,2018-12-08,Southern Company,Duke Energy,230.00,SPP,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0005,Phoenix Solar Plant 5,Solar,NERC,NEER,46.175506,-102.072285,9620 Energy Drive,Phoenix,AZ,93564,25.73,2023-04-21,NextEra Energy,Southern Company,230.00,MISO,Offline,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0006,Springfield Solar Plant 6,Solar,FERC,NEER,39.066564,-104.757625,5092 Energy Drive,Springfield,IL,98904,53.96,2023-08-06,Southern Company,Southern Company,345.00,MISO,Maintenance,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0007,Houston Wind Plant 7,Wind,FERC,NEER,30.604381,-99.025778,329 Energy Drive,Houston,TX,41879,325.85,2021-08-11,Exelon,NextEra Energy,230.00,ISO-NE,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0008,Charlotte Battery Plant 8,Battery,FERC,NEER,34.258038,-92.246525,5625 Energy Drive,Charlotte,NC,29014,158.76,2021-11-08,Exelon,Exelon,13.80,MISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0009,Naperville Wind Plant 9,Wind,FERC,NEER,34.234943,-80.904609,1148 Energy Drive,Naperville,IL,58219,202.50,2019-06-14,Duke Energy,Exelon,69.00,ISO-NE,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0010,Philadelphia Battery Plant 10,Battery,FERC,NEER,32.781635,-107.609682,1308 Energy Drive,Philadelphia,PA,93213,271.42,2020-12-11,Duke Energy,Exelon,138.00,ERCOT,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0011,Charlotte Battery Plant 11,Battery,FERC,NEER,39.102347,-93.437352,2243 Energy Drive,Charlotte,NC,53655,215.49,2017-02-05,Exelon,Exelon,138.00,SPP,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0012,Raleigh Battery Plant 12,Battery,NERC,NEER,30.708299,-122.619809,9160 Energy Drive,Raleigh,NC,60795,491.07,2020-07-19,Southern Company,Dominion Energy,34.50,CAISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0013,Naperville Wind Plant 13,Wind,NERC,NEER,45.482032,-112.564331,4752 Energy Drive,Naperville,IL,19937,102.66,2022-09-17,NextEra Energy,Exelon,345.00,SPP,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0014,Cincinnati Battery Plant 14,Battery,NERC,NEER,43.165855,-96.092107,449 Energy Drive,Cincinnati,OH,30494,156.35,2016-09-06,Dominion Energy,Southern Company,230.00,NYISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0015,Sacramento Wind Plant 15,Wind,NERC,NEER,38.139512,-121.779631,8825 Energy Drive,Sacramento,CA,59215,432.09,2021-08-02,Dominion Energy,Duke Energy,230.00,ISO-NE,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0016,Harrisburg Wind Plant 16,Wind,NERC,NEER,47.017385,-114.476860,3724 Energy Drive,Harrisburg,PA,67455,58.60,2018-02-22,Duke Energy,Southern Company,345.00,ISO-NE,Offline,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0017,Raleigh Solar Plant 17,Solar,NERC,NEER,35.891947,-88.027805,1567 Energy Drive,Raleigh,NC,20094,395.95,2019-09-08,Exelon,Dominion Energy,230.00,MISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0018,Dallas Wind Plant 18,Wind,FERC,NEER,37.495128,-117.093942,7174 Energy Drive,Dallas,TX,49016,74.94,2023-07-06,NextEra Energy,NextEra Energy,13.80,NYISO,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0019,Cincinnati Wind Plant 19,Wind,FERC,NEER,31.156826,-118.436709,6292 Energy Drive,Cincinnati,OH,89015,358.20,2024-06-12,Dominion Energy,Duke Energy,34.50,SPP,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0020,Springfield Solar Plant 20,Solar,FERC,NEER,25.015648,-110.476294,6219 Energy Drive,Springfield,IL,60863,493.94,2017-02-26,NextEra Energy,Exelon,13.80,ISO-NE,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0021,Buffalo Battery Plant 21,Battery,FERC,NEER,43.766930,-112.360214,7388 Energy Drive,Buffalo,NY,60805,484.24,2017-01-16,Exelon,Dominion Energy,69.00,NYISO,Maintenance,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0022,San Diego Solar Plant 22,Solar,FERC,NEER,31.450963,-104.085417,4337 Energy Drive,San Diego,CA,52105,229.78,2023-04-11,NextEra Energy,Southern Company,345.00,CAISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0023,Savannah Battery Plant 23,Battery,NERC,NEER,25.875155,-107.351106,4205 Energy Drive,Savannah,GA,51018,64.19,2020-09-01,Duke Energy,Exelon,69.00,CAISO,Maintenance,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0024,Sacramento Wind Plant 24,Wind,NERC,NEER,36.997518,-103.139765,1322 Energy Drive,Sacramento,CA,59299,340.89,2017-10-24,Exelon,NextEra Energy,138.00,NYISO,Offline,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0025,Phoenix Solar Plant 25,Solar,FERC,NEER,28.440484,-119.061591,4484 Energy Drive,Phoenix,AZ,29988,490.00,2020-06-05,NextEra Energy,Exelon,138.00,NYISO,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0026,Philadelphia Solar Plant 26,Solar,FERC,NEER,41.319369,-119.893878,7830 Energy Drive,Philadelphia,PA,28628,202.46,2021-10-28,NextEra Energy,Dominion Energy,345.00,ERCOT,Maintenance,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0027,Durham Solar Plant 27,Solar,NERC,NEER,28.463136,-108.183639,3769 Energy Drive,Durham,NC,65435,52.07,2016-03-09,Exelon,Exelon,230.00,ERCOT,Maintenance,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0028,Philadelphia Wind Plant 28,Wind,NERC,NEER,29.182928,-87.932818,6560 Energy Drive,Philadelphia,PA,29528,296.84,2016-12-04,Duke Energy,Dominion Energy,345.00,PJM,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0029,Pittsburgh Battery Plant 29,Battery,FERC,NEER,28.358644,-107.802676,4206 Energy Drive,Pittsburgh,PA,34022,11.95,2017-06-26,Duke Energy,Southern Company,69.00,MISO,Offline,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0030,Sacramento Wind Plant 30,Wind,NERC,NEER,32.510813,-71.289978,8943 Energy Drive,Sacramento,CA,55501,131.26,2020-12-07,Dominion Energy,Dominion Energy,13.80,ERCOT,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0031,Rochester Solar Plant 31,Solar,NERC,NEER,47.566046,-65.360310,5052 Energy Drive,Rochester,NY,22744,131.09,2023-09-11,NextEra Energy,Duke Energy,345.00,ISO-NE,Offline,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0032,Durham Wind Plant 32,Wind,FERC,NEER,26.178110,-110.913700,9561 Energy Drive,Durham,NC,49699,94.68,2020-10-21,Duke Energy,Dominion Energy,230.00,SPP,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0033,Cincinnati Solar Plant 33,Solar,NERC,NEER,28.995687,-70.729081,8523 Energy Drive,Cincinnati,OH,20440,158.25,2019-01-22,Dominion Energy,NextEra Energy,13.80,PJM,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0034,San Francisco Battery Plant 34,Battery,NERC,NEER,33.890030,-74.852238,1273 Energy Drive,San Francisco,CA,40507,111.70,2020-04-13,Exelon,Southern Company,230.00,NYISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0035,Pittsburgh Solar Plant 35,Solar,NERC,NEER,45.865471,-116.558951,5504 Energy Drive,Pittsburgh,PA,38584,166.99,2024-05-10,Dominion Energy,Dominion Energy,69.00,NYISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0036,Los Angeles Solar Plant 36,Solar,FERC,NEER,25.221902,-109.876424,6158 Energy Drive,Los Angeles,CA,68405,30.74,2017-02-02,Southern Company,Exelon,13.80,MISO,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0037,Rochester Solar Plant 37,Solar,FERC,NEER,29.213785,-104.383364,7774 Energy Drive,Rochester,NY,82436,343.36,2019-09-05,Southern Company,NextEra Energy,138.00,PJM,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0038,Rochester Solar Plant 38,Solar,NERC,NEER,25.645016,-105.067579,621 Energy Drive,Rochester,NY,45705,324.59,2015-06-07,Dominion Energy,NextEra Energy,345.00,CAISO,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0039,Savannah Solar Plant 39,Solar,FERC,NEER,27.437636,-124.384890,1265 Energy Drive,Savannah,GA,17112,13.90,2016-04-12,Southern Company,Southern Company,230.00,SPP,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0040,Columbus Battery Plant 40,Battery,FERC,NEER,47.273082,-85.213688,5864 Energy Drive,Columbus,OH,11684,140.29,2015-07-21,Southern Company,Southern Company,230.00,ERCOT,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0041,San Antonio Solar Plant 41,Solar,NERC,NEER,30.296329,-115.204353,5253 Energy Drive,San Antonio,TX,66454,487.00,2017-07-07,Dominion Energy,Duke Energy,345.00,NYISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0042,Springfield Solar Plant 42,Solar,FERC,NEER,36.195697,-121.890801,2393 Energy Drive,Springfield,IL,63096,419.46,2023-09-17,Exelon,Dominion Energy,69.00,ERCOT,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0043,Cleveland Solar Plant 43,Solar,NERC,NEER,36.351579,-90.804492,3194 Energy Drive,Cleveland,OH,55770,14.29,2015-09-28,NextEra Energy,Duke Energy,69.00,NYISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0044,Philadelphia Battery Plant 44,Battery,NERC,NEER,44.339420,-108.770228,3794 Energy Drive,Philadelphia,PA,91738,480.03,2022-01-20,Southern Company,Duke Energy,345.00,PJM,Maintenance,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0045,Dallas Solar Plant 45,Solar,FERC,NEER,43.845872,-102.976044,2601 Energy Drive,Dallas,TX,27410,211.67,2022-08-18,Southern Company,Dominion Energy,138.00,MISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0046,Naperville Battery Plant 46,Battery,NERC,NEER,26.930175,-89.484894,2632 Energy Drive,Naperville,IL,51366,241.24,2023-10-22,Duke Energy,Exelon,69.00,CAISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0047,Columbus Solar Plant 47,Solar,NERC,NEER,37.425584,-98.140261,5738 Energy Drive,Columbus,OH,14886,262.17,2016-08-04,Dominion Energy,NextEra Energy,34.50,PJM,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0048,Buffalo Solar Plant 48,Solar,FERC,NEER,28.587886,-121.616160,1542 Energy Drive,Buffalo,NY,72766,432.29,2018-02-21,Dominion Energy,Duke Energy,34.50,SPP,Maintenance,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0049,Orlando Battery Plant 49,Battery,FERC,FPL,40.075275,-121.188702,2065 Energy Drive,Orlando,FL,40279,266.66,2016-04-03,Southern Company,Southern Company,34.50,CAISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0050,Savannah Wind Plant 50,Wind,FERC,NEER,39.361026,-67.121331,5408 Energy Drive,Savannah,GA,76541,393.20,2015-03-28,Dominion Energy,Southern Company,69.00,MISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0051,Miami Wind Plant 51,Wind,FERC,FPL,47.278632,-83.121793,8606 Energy Drive,Miami,FL,56250,82.62,2021-04-04,Exelon,Southern Company,34.50,MISO,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0052,Miami Wind Plant 52,Wind,FERC,FPL,42.860518,-82.278465,2469 Energy Drive,Miami,FL,77057,26.09,2022-07-03,Dominion Energy,Duke Energy,13.80,PJM,Maintenance,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0053,Tucson Solar Plant 53,Solar,FERC,NEER,43.702001,-102.647879,3641 Energy Drive,Tucson,AZ,35540,157.99,2017-08-15,NextEra Energy,Southern Company,69.00,ISO-NE,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0054,Orlando Battery Plant 54,Battery,FERC,FPL,27.833874,-83.120952,9437 Energy Drive,Orlando,FL,42160,478.83,2016-08-05,Duke Energy,Dominion Energy,138.00,SPP,Maintenance,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0055,Albany Wind Plant 55,Wind,FERC,NEER,43.580804,-120.039531,3125 Energy Drive,Albany,NY,59009,351.22,2021-02-03,NextEra Energy,NextEra Energy,34.50,ERCOT,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0056,Durham Battery Plant 56,Battery,FERC,NEER,31.143839,-106.371751,3679 Energy Drive,Durham,NC,16394,496.45,2019-06-13,NextEra Energy,Dominion Energy,138.00,SPP,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0057,Columbus Solar Plant 57,Solar,NERC,NEER,37.038932,-65.299053,3683 Energy Drive,Columbus,OH,57014,221.08,2018-11-26,Duke Energy,NextEra Energy,230.00,MISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0058,San Antonio Battery Plant 58,Battery,NERC,NEER,26.504112,-110.090838,4188 Energy Drive,San Antonio,TX,14325,309.70,2020-06-24,NextEra Energy,NextEra Energy,34.50,ERCOT,Offline,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0059,Harrisburg Solar Plant 59,Solar,FERC,NEER,28.747493,-98.484726,9432 Energy Drive,Harrisburg,PA,66299,315.07,2023-10-08,Duke Energy,NextEra Energy,138.00,SPP,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0060,Savannah Solar Plant 60,Solar,NERC,NEER,43.095307,-82.019427,6365 Energy Drive,Savannah,GA,12810,338.70,2018-12-06,Southern Company,Southern Company,345.00,SPP,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0061,Jacksonville Wind Plant 61,Wind,NERC,FPL,28.446927,-101.715599,8443 Energy Drive,Jacksonville,FL,81300,360.05,2015-03-20,Dominion Energy,Exelon,230.00,ERCOT,Maintenance,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0062,New York Battery Plant 62,Battery,NERC,NEER,26.542715,-84.135772,1234 Energy Drive,New York,NY,21959,210.12,2016-03-05,Exelon,NextEra Energy,230.00,CAISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0063,Cincinnati Battery Plant 63,Battery,NERC,NEER,37.935713,-74.769202,4610 Energy Drive,Cincinnati,OH,12549,202.05,2023-02-20,Exelon,Dominion Energy,34.50,SPP,Offline,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0064,Columbus Wind Plant 64,Wind,NERC,NEER,39.333834,-68.384683,481 Energy Drive,Columbus,OH,68760,349.59,2024-01-05,Exelon,Dominion Energy,69.00,ERCOT,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0065,Atlanta Battery Plant 65,Battery,NERC,NEER,30.751260,-70.703352,8448 Energy Drive,Atlanta,GA,48506,174.97,2021-09-14,NextEra Energy,Exelon,230.00,CAISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0066,Savannah Solar Plant 66,Solar,NERC,NEER,26.313881,-84.894336,9687 Energy Drive,Savannah,GA,58893,408.48,2019-04-23,NextEra Energy,Dominion Energy,230.00,ERCOT,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0067,Columbus Wind Plant 67,Wind,NERC,NEER,36.175152,-86.449673,9337 Energy Drive,Columbus,OH,82877,354.33,2019-04-17,Southern Company,Southern Company,69.00,MISO,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0068,Pittsburgh Solar Plant 68,Solar,NERC,NEER,39.299048,-106.896922,8863 Energy Drive,Pittsburgh,PA,16176,251.71,2018-09-26,Dominion Energy,Dominion Energy,34.50,CAISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0069,Tampa Solar Plant 69,Solar,FERC,FPL,46.572742,-100.166461,1011 Energy Drive,Tampa,FL,38491,318.45,2024-05-24,Southern Company,Dominion Energy,138.00,MISO,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0070,Savannah Battery Plant 70,Battery,NERC,NEER,44.187866,-109.385258,4314 Energy Drive,Savannah,GA,30562,357.16,2023-09-19,Exelon,Exelon,34.50,SPP,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0071,Chicago Wind Plant 71,Wind,FERC,NEER,29.727748,-117.602333,7039 Energy Drive,Chicago,IL,66237,170.41,2018-05-16,NextEra Energy,Exelon,13.80,ERCOT,Offline,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0072,Sacramento Solar Plant 72,Solar,FERC,NEER,32.958809,-112.085324,3997 Energy Drive,Sacramento,CA,22123,216.96,2022-02-16,Duke Energy,Exelon,34.50,MISO,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0073,Rochester Wind Plant 73,Wind,NERC,NEER,37.591527,-105.032421,2689 Energy Drive,Rochester,NY,59564,149.03,2023-02-10,NextEra Energy,Dominion Energy,13.80,PJM,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0074,Tucson Solar Plant 74,Solar,FERC,NEER,32.010947,-100.177106,2638 Energy Drive,Tucson,AZ,60714,141.27,2021-02-16,Dominion Energy,Southern Company,230.00,SPP,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0075,Tucson Solar Plant 75,Solar,FERC,NEER,36.380131,-97.629517,594 Energy Drive,Tucson,AZ,42355,14.09,2024-04-10,NextEra Energy,Dominion Energy,138.00,SPP,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0076,Rochester Wind Plant 76,Wind,FERC,NEER,30.334076,-123.560541,5713 Energy Drive,Rochester,NY,70811,473.05,2023-03-16,Duke Energy,Exelon,138.00,ERCOT,Offline,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0077,Tucson Battery Plant 77,Battery,NERC,NEER,42.186170,-100.165878,9791 Energy Drive,Tucson,AZ,92701,73.24,2024-06-06,Dominion Energy,Southern Company,345.00,SPP,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0078,Chicago Battery Plant 78,Battery,FERC,NEER,45.102063,-88.123256,7160 Energy Drive,Chicago,IL,29156,388.72,2020-03-09,Dominion Energy,NextEra Energy,138.00,PJM,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0079,Augusta Battery Plant 79,Battery,NERC,NEER,29.637437,-114.307341,2468 Energy Drive,Augusta,GA,18869,10.75,2020-07-06,Dominion Energy,Exelon,34.50,CAISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0080,Austin Battery Plant 80,Battery,NERC,NEER,40.844649,-123.689108,159 Energy Drive,Austin,TX,75770,394.18,2019-08-18,Dominion Energy,Duke Energy,345.00,ISO-NE,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0081,Durham Wind Plant 81,Wind,NERC,NEER,41.298751,-116.659419,3107 Energy Drive,Durham,NC,96562,334.50,2021-03-20,Southern Company,NextEra Energy,230.00,NYISO,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0082,Durham Solar Plant 82,Solar,FERC,NEER,32.687957,-117.275612,1537 Energy Drive,Durham,NC,43876,25.08,2016-09-22,Exelon,Southern Company,345.00,SPP,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0083,Augusta Solar Plant 83,Solar,NERC,NEER,33.352285,-117.986493,5992 Energy Drive,Augusta,GA,98232,177.65,2021-04-25,Dominion Energy,NextEra Energy,34.50,CAISO,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0084,Atlanta Solar Plant 84,Solar,FERC,NEER,27.212142,-73.337720,7194 Energy Drive,Atlanta,GA,17629,266.17,2022-11-25,NextEra Energy,Duke Energy,230.00,PJM,Offline,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0085,Durham Solar Plant 85,Solar,FERC,NEER,48.932641,-87.403336,822 Energy Drive,Durham,NC,73451,455.41,2022-02-17,Duke Energy,Dominion Energy,345.00,SPP,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0086,Los Angeles Wind Plant 86,Wind,NERC,NEER,38.610426,-84.261513,6279 Energy Drive,Los Angeles,CA,90621,295.42,2016-04-23,NextEra Energy,NextEra Energy,345.00,SPP,Maintenance,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0087,Cleveland Solar Plant 87,Solar,FERC,NEER,28.341771,-85.624730,3823 Energy Drive,Cleveland,OH,57415,356.69,2016-03-03,NextEra Energy,Duke Energy,345.00,PJM,Offline,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0088,Augusta Wind Plant 88,Wind,NERC,NEER,30.033868,-80.839716,3420 Energy Drive,Augusta,GA,98497,140.04,2024-03-14,Duke Energy,NextEra Energy,34.50,PJM,Offline,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0089,San Francisco Battery Plant 89,Battery,NERC,NEER,38.506621,-103.032590,6841 Energy Drive,San Francisco,CA,70654,152.53,2019-01-13,NextEra Energy,Duke Energy,230.00,PJM,Maintenance,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0090,Dallas Wind Plant 90,Wind,NERC,NEER,41.078770,-119.835511,6889 Energy Drive,Dallas,TX,43329,385.99,2015-11-03,NextEra Energy,Dominion Energy,345.00,PJM,Offline,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0091,Albany Wind Plant 91,Wind,NERC,NEER,46.178772,-104.181961,3898 Energy Drive,Albany,NY,56507,56.46,2023-01-18,NextEra Energy,Southern Company,13.80,ISO-NE,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0092,Tucson Solar Plant 92,Solar,FERC,NEER,29.853657,-103.943047,3441 Energy Drive,Tucson,AZ,76611,146.49,2024-01-21,NextEra Energy,Dominion Energy,230.00,CAISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0093,Springfield Solar Plant 93,Solar,NERC,NEER,37.690280,-118.412202,593 Energy Drive,Springfield,IL,43841,111.17,2022-05-25,Dominion Energy,Duke Energy,13.80,CAISO,Decommissioned,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0094,Naperville Wind Plant 94,Wind,FERC,NEER,42.505929,-74.269046,9961 Energy Drive,Naperville,IL,58521,98.10,2022-10-13,Duke Energy,Exelon,138.00,MISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0095,Los Angeles Solar Plant 95,Solar,FERC,NEER,37.716068,-106.652463,5027 Energy Drive,Los Angeles,CA,19650,146.49,2020-09-09,NextEra Energy,Southern Company,34.50,ERCOT,Offline,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0096,San Francisco Solar Plant 96,Solar,FERC,NEER,45.230126,-88.376840,109 Energy Drive,San Francisco,CA,82040,97.68,2023-05-26,Exelon,Dominion Energy,69.00,SPP,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0097,Charlotte Wind Plant 97,Wind,NERC,NEER,33.856424,-96.566710,7671 Energy Drive,Charlotte,NC,16709,409.74,2016-04-02,NextEra Energy,Exelon,230.00,ISO-NE,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0098,San Francisco Battery Plant 98,Battery,NERC,NEER,48.425970,-65.665466,9280 Energy Drive,San Francisco,CA,25464,151.98,2021-10-15,Dominion Energy,Exelon,230.00,SPP,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0099,Tucson Solar Plant 99,Solar,NERC,NEER,29.724644,-105.713924,3188 Energy Drive,Tucson,AZ,49754,449.06,2016-11-09,Southern Company,NextEra Energy,345.00,NYISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
PLT-0100,Phoenix Solar Plant 100,Solar,FERC,NEER,33.961834,-80.673613,4779 Energy Drive,Phoenix,AZ,20393,306.17,2022-02-19,Southern Company,Dominion Energy,13.80,NYISO,Active,2025-12-09T14:25:05,2025-12-09T14:25:05
